userid,username,email,password,reputation,creation_date,is_admin,total_reviews
user_001,Nico1,Nico1@stu.ubc.ca,Password1!,5,2025-10-30T02:18:46.241597,true,0
user_002,Nico2,Nico2@stu.ubc.ca,Password2!,4,2025-10-30T02:19:07.312274,false,0
user_003,Paynebyname,paynebyname@ubc.stu.ca,user_003Default123!,3,2019-05-04T00:00:00,false,1
user_004,jtindahouse,jtindahouse@ubc.stu.ca,user_004Default123!,3,2019-05-06T00:00:00,false,4
user_005,arclinecreative,arclinecreative@ubc.stu.ca,user_005Default123!,3,2019-05-13T00:00:00,false,1
user_006,RetroRick,retrorick@ubc.stu.ca,user_006Default123!,3,2019-08-03T00:00:00,false,2
user_007,ACollegeStudent,acollegestudent@ubc.stu.ca,user_007Default123!,3,2021-12-13T00:00:00,false,4
user_008,majoreasy,majoreasy@ubc.stu.ca,user_008Default123!,3,2019-04-30T00:00:00,false,1
user_009,YourAverageReviewer,youraveragereviewer@ubc.stu.ca,user_009Default123!,3,2019-04-28T00:00:00,false,1
user_010,phoenixinvictus,phoenixinvictus@ubc.stu.ca,user_010Default123!,3,2019-08-01T00:00:00,false,3
user_011,dussaultjulien,dussaultjulien@ubc.stu.ca,user_011Default123!,3,2019-08-22T00:00:00,false,4
user_012,RIK-22,rik-22@ubc.stu.ca,user_012Default123!,3,2019-04-30T00:00:00,false,3
user_013,kokorikos,kokorikos@ubc.stu.ca,user_013Default123!,3,2019-05-04T00:00:00,false,2
user_014,vengeance20,vengeance20@ubc.stu.ca,user_014Default123!,4,2019-04-30T00:00:00,false,6
user_015,donnodcassandra-41099,donnodcassandra-41099@ubc.stu.ca,user_015Default123!,3,2021-02-21T00:00:00,false,1
user_016,deeznutz-09839,deeznutz-09839@ubc.stu.ca,user_016Default123!,3,2020-11-05T00:00:00,false,3
user_017,jochemunlimited,jochemunlimited@ubc.stu.ca,user_017Default123!,3,2019-05-11T00:00:00,false,2
user_018,arshambehrouz,arshambehrouz@ubc.stu.ca,user_018Default123!,3,2019-08-01T00:00:00,false,1
user_019,danielaustin-735-484497,danielaustin-735-484497@ubc.stu.ca,user_019Default123!,3,2019-08-21T00:00:00,false,4
user_020,davish_wulf-1,davish_wulf-1@ubc.stu.ca,user_020Default123!,3,2019-08-29T00:00:00,false,3
user_021,divg-57-800054,divg-57-800054@ubc.stu.ca,user_021Default123!,3,2019-08-04T00:00:00,false,2
user_022,malthenielsen,malthenielsen@ubc.stu.ca,user_022Default123!,3,2019-07-31T00:00:00,false,2
user_023,jasonbarnettnz,jasonbarnettnz@ubc.stu.ca,user_023Default123!,3,2019-05-08T00:00:00,false,1
user_024,Frankaub-1,frankaub-1@ubc.stu.ca,user_024Default123!,3,2019-07-02T00:00:00,false,1
user_025,bizlats,bizlats@ubc.stu.ca,user_025Default123!,3,2019-08-06T00:00:00,false,2
user_026,ben-snooks,ben-snooks@ubc.stu.ca,user_026Default123!,3,2019-08-06T00:00:00,false,1
user_027,robh,robh@ubc.stu.ca,user_027Default123!,3,2019-08-13T00:00:00,false,1
user_028,flowergirlindahe,flowergirlindahe@ubc.stu.ca,user_028Default123!,3,2020-01-25T00:00:00,false,1
user_029,tfminfl,tfminfl@ubc.stu.ca,user_029Default123!,3,2019-05-21T00:00:00,false,2
user_030,cgbarr-73033,cgbarr-73033@ubc.stu.ca,user_030Default123!,3,2021-03-02T00:00:00,false,1
user_031,drummerlaci,drummerlaci@ubc.stu.ca,user_031Default123!,3,2019-05-05T00:00:00,false,1
user_032,amerikasend,amerikasend@ubc.stu.ca,user_032Default123!,3,2019-04-29T00:00:00,false,1
user_033,adrenachrome,adrenachrome@ubc.stu.ca,user_033Default123!,3,2019-04-29T00:00:00,false,1
user_034,rehensle,rehensle@ubc.stu.ca,user_034Default123!,3,2019-05-05T00:00:00,false,1
user_035,daz-15753,daz-15753@ubc.stu.ca,user_035Default123!,3,2021-03-28T00:00:00,false,1
user_036,hello-50036,hello-50036@ubc.stu.ca,user_036Default123!,3,2019-07-29T00:00:00,false,1
user_037,KOOLAIDBRO,koolaidbro@ubc.stu.ca,user_037Default123!,3,2019-08-04T00:00:00,false,1
user_038,shaym_levy,shaym_levy@ubc.stu.ca,user_038Default123!,3,2019-05-12T00:00:00,false,1
user_039,Lursa,lursa@ubc.stu.ca,user_039Default123!,3,2019-05-06T00:00:00,false,1
user_040,jeremycorbyn,jeremycorbyn@ubc.stu.ca,user_040Default123!,3,2019-05-31T00:00:00,false,1
user_041,jwag777,jwag777@ubc.stu.ca,user_041Default123!,3,2019-05-29T00:00:00,false,1
user_042,mocaler,mocaler@ubc.stu.ca,user_042Default123!,3,2019-04-25T00:00:00,false,2
user_043,impressivesgirl-37857,impressivesgirl-37857@ubc.stu.ca,user_043Default123!,3,2020-12-29T00:00:00,false,1
user_044,ZestyLimeStudios,zestylimestudios@ubc.stu.ca,user_044Default123!,3,2019-09-07T00:00:00,false,2
user_045,botev1921,botev1921@ubc.stu.ca,user_045Default123!,3,2019-05-01T00:00:00,false,1
user_046,tomsters,tomsters@ubc.stu.ca,user_046Default123!,3,2019-05-08T00:00:00,false,1
user_047,dldavidlittle,dldavidlittle@ubc.stu.ca,user_047Default123!,3,2019-05-04T00:00:00,false,2
user_048,bheadher,bheadher@ubc.stu.ca,user_048Default123!,3,2019-05-10T00:00:00,false,2
user_049,salirocket,salirocket@ubc.stu.ca,user_049Default123!,3,2019-05-08T00:00:00,false,1
user_050,LordOfTheThundercats,lordofthethundercats@ubc.stu.ca,user_050Default123!,3,2019-04-28T00:00:00,false,2
user_051,aaronjamesmaximus,aaronjamesmaximus@ubc.stu.ca,user_051Default123!,3,2019-05-05T00:00:00,false,1
user_052,Ratisbonanza,ratisbonanza@ubc.stu.ca,user_052Default123!,3,2019-08-11T00:00:00,false,2
user_053,davebartle,davebartle@ubc.stu.ca,user_053Default123!,3,2020-11-28T00:00:00,false,1
user_054,Old_Movie_Watching_With_Rob,old_movie_watching_with_rob@ubc.stu.ca,user_054Default123!,3,2021-02-10T00:00:00,false,2
user_055,nickgray-12862,nickgray-12862@ubc.stu.ca,user_055Default123!,3,2019-04-27T00:00:00,false,2
user_056,greg-04082,greg-04082@ubc.stu.ca,user_056Default123!,3,2019-05-20T00:00:00,false,1
user_057,anthonycciancio,anthonycciancio@ubc.stu.ca,user_057Default123!,3,2019-04-28T00:00:00,false,1
user_058,josiahferret,josiahferret@ubc.stu.ca,user_058Default123!,3,2019-06-26T00:00:00,false,1
user_059,jere_zabala,jere_zabala@ubc.stu.ca,user_059Default123!,3,2019-05-01T00:00:00,false,4
user_060,unrivaledraj,unrivaledraj@ubc.stu.ca,user_060Default123!,3,2019-04-27T00:00:00,false,1
user_061,louis-170,louis-170@ubc.stu.ca,user_061Default123!,3,2019-06-18T00:00:00,false,1
user_062,woah-24491,woah-24491@ubc.stu.ca,user_062Default123!,3,2019-08-05T00:00:00,false,1
user_063,egg_egan,egg_egan@ubc.stu.ca,user_063Default123!,3,2019-05-19T00:00:00,false,2
